Date;Collectivité;Instance;Numero delib;Titre délib;Rapporteur;ID élu;Elu;FONCTION;Theme déport;DELIB_URL;Observations
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0163;Enseignement, formation – Activités éducatives périscolaires - Provision Commission Éducation Enfance Jeunesse Sport Quartiers – Première attribution de subventions 2022;ROUGIER Gaëlle;17174-3728;AFFILE Gwendoline;Conseillère déléguée à l'Innovation sociale et à l'Accès aux loisirs;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/4328bc3341b47b1f58cc30a86e3824cb49c523255fccd6d3b9732cf6ec6fdc40.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0164;Culture - Expression musicale, lyrique et chorégraphique – Opéra - Convention de mandat de billetterie avec Destination Rennes;CAREIL Benoît;9773-3728;FAUCHEUX Valérie;14è adjointe déléguée aux Mobilités et aux déplacements;Convention de mandat avec une SPL;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/2153daa4c16304a41e3d9f6292c62cd8ec3012f8cc83f63177be6a2cc81c63e0.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0169;Culture - Action culturelle - Provision aux résidences artistiques - Première attribution de subventions 2022;CAREIL Benoît;17174-3728;AFFILE Gwendoline;Conseillère déléguée à l'Innovation sociale et à l'Accès aux loisirs;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/b59249935e5a44a122eadbe0a1099b1b88dc14d650775256cf0020df2b4629e8.pdf;Motif personnel
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0169;Culture - Action culturelle - Provision aux résidences artistiques - Première attribution de subventions 2022;CAREIL Benoît;17230-3728;STEPHAN Arnaud;Conseiller municipal délégué à la Petite enfance;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/b59249935e5a44a122eadbe0a1099b1b88dc14d650775256cf0020df2b4629e8.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0179;Sports et jeunesse - Action socio-éducative - Équipement - Provision Équipements de Quartiers - Première attribution de subventions 2022;ANDRO Rozenn +Affilé?;11097-3728;ZAMORD Priscilla;Conseillère municipale;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/af99d2e83bc1bfa48340301cdd6cd514dd35d3d74a0482378fd0110e47fbdeae.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0182;"Sport et jeunesse - ""Cet été à Rennes"" - Provision Animations quartiers été 2022 - Provision Animations sportives été 2022 - Première attribution de subventions 2022";SEMERIL Sébastien;17230-3728;STEPHAN Arnaud;Conseiller municipal délégué à la Petite enfance;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/78d2526b6f7c8622576b8f071663f6e116edc44188fa2ee4594043d5f3e206b5.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0182;"Sport et jeunesse - ""Cet été à Rennes"" - Provision Animations quartiers été 2022 - Provision Animations sportives été 2022 - Première attribution de subventions 2022";SEMERIL Sébastien;17121-3728;ANDRO Rozenn;6è adjointe déléguée à la Vie associative;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/78d2526b6f7c8622576b8f071663f6e116edc44188fa2ee4594043d5f3e206b5.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0186;Sports et jeunesse – Action socio-éducative – Provision Jeunes en projets – Deuxième attribution de subventions 2022;BOUCHONNET Iris;17123-3728;BOUKHENOUFA Flavie;10è adjointe déléguée aux Relations internationales, aux relations publiques, aux cultes et à la laïcité;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/533c8506263ed46a745d8758eefadb1ad8f56273efe351672e42815bf732cdc5.pdf;Motif personnel
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0212;Aménagement et services urbains, environnement – ZAC Maurepas Gayeulles – Angle Boulevard de Vitré, boulevard Raymond Poincaré - Cession à la SPLA Territoires Publics;GUILLOTIN Daniel;7301-3728;HERVE Marc;1er adjoint délégué à l'Urbanisme;Actes immobiliers;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/a8bfd8531b6851672a0ea9059714fcdc54df28bdbe55bbddb3cf9439ed2e9938.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2022-06-27;Ville de Rennes;Conseil Municipal;2022_0212;Aménagement et services urbains, environnement – ZAC Maurepas Gayeulles – Angle Boulevard de Vitré, boulevard Raymond Poincaré - Cession à la SPLA Territoires Publics;GUILLOTIN Daniel;17223-3728;GANDON Carole;Conseillère municipale;Actes immobiliers;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2022/a8bfd8531b6851672a0ea9059714fcdc54df28bdbe55bbddb3cf9439ed2e9938.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-03-13;Ville de Rennes;Conseil Municipal;2023_0035;Finances – Attributions des subventions au titre de l'année 2023 - Culture patrimoine et rayonnement - Solidarités et cohésion sociale;Mme NOISETTE;17121-3728;ANDRO Rozenn;6è adjointe déléguée à la Vie associative;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-03-13;Ville de Rennes;Conseil Municipal;2023_0035;Finances – Attributions des subventions au titre de l'année 2023 - Culture patrimoine et rayonnement - Solidarités et cohésion sociale;Mme NOISETTE;13950-3728;BOUCHONNET Iris;16è adjointe déléguée à la Jeunesse, à la vie étudiante et à la politique des temps;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-03-13;Ville de Rennes;Conseil Municipal;2023_0035;Finances – Attributions des subventions au titre de l'année 2023 - Culture patrimoine et rayonnement - Solidarités et cohésion sociale;Mme NOISETTE;17197-3728;CASACUBERTA PALMADA Montserrat;Conseillère municipale déléguée aux politiques linguistiques;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-03-13;Ville de Rennes;Conseil Municipal;2023_0035;Finances – Attributions des subventions au titre de l'année 2023 - Culture patrimoine et rayonnement - Solidarités et cohésion sociale;Mme NOISETTE;17232-3728;ID AHMED Zahra;Conseillère municipale;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-03-13;Ville de Rennes;Conseil Municipal;2023_0035;Finances – Attributions des subventions au titre de l'année 2023 - Culture patrimoine et rayonnement - Solidarités et cohésion sociale;Mme NOISETTE;7292-3728;SEMERIL Sébastien;9è adjoint délégué à la Communication et à l'événementiel;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-03-13;Ville de Rennes;Conseil Municipal;2023_0035;Finances – Attributions des subventions au titre de l'année 2023 - Culture patrimoine et rayonnement - Solidarités et cohésion sociale;Mme NOISETTE;17230-3728;STEPHAN Arnaud;Conseiller municipal délégué à la Petite enfance;Versement de subvention à un organisme privé ou public;;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
